Date,CO2,Time
1/2/1948,-0.15,338
1/3/1948,-0.25,339
1/4/1948,-0.11,340
1/5/1948,0.01,341
1/6/1948,-0.04,342
1/7/1948,-0.11,343
1/8/1948,-0.12,344
1/9/1948,-0.11,345
1/10/1948,-0.07,346
1/11/1948,-0.12,347
1/12/1948,-0.23,348
1/1/1949,0.09,349
1/2/1949,-0.16,350
1/3/1949,-0.02,351
1/4/1949,-0.1,352
1/5/1949,-0.08,353
1/6/1949,-0.23,354
1/7/1949,-0.14,355
1/8/1949,-0.12,356
1/9/1949,-0.14,357
1/10/1949,-0.06,358
1/11/1949,-0.1,359
1/12/1949,-0.22,360
1/1/1950,-0.33,361
1/2/1950,-0.28,362
1/3/1950,-0.07,363
1/4/1950,-0.2,364
1/5/1950,-0.09,365
1/6/1950,-0.03,366
1/7/1950,-0.1,367
1/8/1950,-0.16,368
1/9/1950,-0.12,369
1/10/1950,-0.22,370
1/11/1950,-0.38,371
1/12/1950,-0.2,372
1/1/1951,-0.35,373
1/2/1951,-0.43,374
1/3/1951,-0.21,375
1/4/1951,-0.13,376
1/5/1951,0,377
1/6/1951,-0.02,378
1/7/1951,0.03,379
1/8/1951,0.06,380
1/9/1951,0.08,381
1/10/1951,0.05,382
1/11/1951,-0.02,383
1/12/1951,0.14,384
1/1/1952,0.13,385
1/2/1952,0.11,386
1/3/1952,-0.1,387
1/4/1952,0.02,388
1/5/1952,-0.02,389
1/6/1952,-0.04,390
1/7/1952,0.04,391
1/8/1952,0.04,392
1/9/1952,0.07,393
1/10/1952,-0.01,394
1/11/1952,-0.14,395
1/12/1952,-0.01,396
1/1/1953,0.08,397
1/2/1953,0.14,398
1/3/1953,0.11,399
1/4/1953,0.18,400
1/5/1953,0.09,401
1/6/1953,0.1,402
1/7/1953,0,403
1/8/1953,0.06,404
1/9/1953,0.04,405
1/10/1953,0.06,406
1/11/1953,-0.06,407
1/12/1953,0.02,408
1/1/1954,-0.28,409
1/2/1954,-0.13,410
1/3/1954,-0.15,411
1/4/1954,-0.17,412
1/5/1954,-0.21,413
1/6/1954,-0.17,414
1/7/1954,-0.19,415
1/8/1954,-0.17,416
1/9/1954,-0.1,417
1/10/1954,-0.04,418
1/11/1954,0.06,419
1/12/1954,-0.22,420
1/1/1955,0.14,421
1/2/1955,-0.17,422
1/3/1955,-0.34,423
1/4/1955,-0.21,424
1/5/1955,-0.21,425
1/6/1955,-0.12,426
1/7/1955,-0.12,427
1/8/1955,0.01,428
1/9/1955,-0.11,429
1/10/1955,-0.05,430
1/11/1955,-0.24,431
1/12/1955,-0.3,432
1/1/1956,-0.16,433
1/2/1956,-0.26,434
1/3/1956,-0.23,435
1/4/1956,-0.27,436
1/5/1956,-0.31,437
1/6/1956,-0.16,438
1/7/1956,-0.12,439
1/8/1956,-0.26,440
1/9/1956,-0.2,441
1/10/1956,-0.24,442
1/11/1956,-0.17,443
1/12/1956,-0.08,444
1/1/1957,-0.11,445
1/2/1957,-0.04,446
1/3/1957,-0.06,447
1/4/1957,-0.01,448
1/5/1957,0.09,449
1/6/1957,0.16,450
1/7/1957,0.01,451
1/8/1957,0.15,452
1/9/1957,0.09,453
1/10/1957,0.01,454
1/11/1957,0.06,455
1/12/1957,0.16,456
1/1/1958,0.39,457
1/2/1958,0.24,458
1/3/1958,0.11,459
1/4/1958,0.03,460
1/5/1958,0.07,461
1/6/1958,-0.07,462
1/7/1958,0.05,463
1/8/1958,-0.03,464
1/9/1958,-0.02,465
1/10/1958,0.04,466
1/11/1958,0.02,467
1/12/1958,0,468
1/1/1959,0.08,469
1/2/1959,0.09,470
1/3/1959,0.18,471
1/4/1959,0.13,472
1/5/1959,0.04,473
1/6/1959,0.02,474
1/7/1959,0.06,475
1/8/1959,-0.01,476
1/9/1959,-0.06,477
1/10/1959,-0.09,478
1/11/1959,-0.09,479
1/12/1959,-0.01,480
1/1/1960,-0.01,481
1/2/1960,0.16,482
1/3/1960,-0.34,483
1/4/1960,-0.14,484
1/5/1960,-0.07,485
1/6/1960,-0.04,486
1/7/1960,-0.03,487
1/8/1960,0.01,488
1/9/1960,0.07,489
1/10/1960,0.07,490
1/11/1960,-0.12,491
1/12/1960,0.18,492
1/1/1961,0.07,493
1/2/1961,0.19,494
1/3/1961,0.09,495
1/4/1961,0.12,496
1/5/1961,0.11,497
1/6/1961,0.11,498
1/7/1961,0,499
1/8/1961,0.03,500
1/9/1961,0.07,501
1/10/1961,0,502
1/11/1961,0.03,503
1/12/1961,-0.15,504
1/1/1962,0.07,505
1/2/1962,0.14,506
1/3/1962,0.12,507
1/4/1962,0.04,508
1/5/1962,-0.04,509
1/6/1962,0.04,510
1/7/1962,0.02,511
1/8/1962,-0.01,512
1/9/1962,0.01,513
1/10/1962,0,514
1/11/1962,0.07,515
1/12/1962,0,516
1/1/1963,-0.02,517
1/2/1963,0.2,518
1/3/1963,-0.14,519
1/4/1963,-0.06,520
1/5/1963,-0.04,521
1/6/1963,0.05,522
1/7/1963,0.08,523
1/8/1963,0.27,524
1/9/1963,0.2,525
1/10/1963,0.15,526
1/11/1963,0.15,527
1/12/1963,-0.01,528
1/1/1964,-0.08,529
1/2/1964,-0.13,530
1/3/1964,-0.23,531
1/4/1964,-0.31,532
1/5/1964,-0.25,533
1/6/1964,-0.02,534
1/7/1964,-0.03,535
1/8/1964,-0.21,536
1/9/1964,-0.29,537
1/10/1964,-0.31,538
1/11/1964,-0.21,539
1/12/1964,-0.3,540
1/1/1965,-0.08,541
1/2/1965,-0.17,542
1/3/1965,-0.11,543
1/4/1965,-0.19,544
1/5/1965,-0.14,545
1/6/1965,-0.09,546
1/7/1965,-0.12,547
1/8/1965,-0.03,548
1/9/1965,-0.16,549
1/10/1965,-0.05,550
1/11/1965,-0.07,551
1/12/1965,-0.06,552
1/1/1966,-0.17,553
1/2/1966,-0.01,554
1/3/1966,0.05,555
1/4/1966,-0.12,556
1/5/1966,-0.11,557
1/6/1966,0.01,558
1/7/1966,0.09,559
1/8/1966,-0.08,560
1/9/1966,-0.02,561
1/10/1966,-0.15,562
1/11/1966,-0.02,563
1/12/1966,-0.06,564
1/1/1967,-0.06,565
1/2/1967,-0.21,566
1/3/1967,0.04,567
1/4/1967,-0.05,568
1/5/1967,0.14,569
1/6/1967,-0.08,570
1/7/1967,0.01,571
1/8/1967,0.01,572
1/9/1967,-0.06,573
1/10/1967,0.08,574
1/11/1967,-0.07,575
1/12/1967,-0.03,576
1/1/1968,-0.25,577
1/2/1968,-0.15,578
1/3/1968,0.2,579
1/4/1968,-0.06,580
1/5/1968,-0.13,581
1/6/1968,-0.08,582
1/7/1968,-0.12,583
1/8/1968,-0.09,584
1/9/1968,-0.18,585
1/10/1968,0.1,586
1/11/1968,-0.03,587
1/12/1968,-0.13,588
1/1/1969,-0.11,589
1/2/1969,-0.14,590
1/3/1969,0.01,591
1/4/1969,0.18,592
1/5/1969,0.19,593
1/6/1969,0.05,594
1/7/1969,-0.02,595
1/8/1969,0.03,596
1/9/1969,0.09,597
1/10/1969,0.13,598
1/11/1969,0.13,599
1/12/1969,0.27,600
1/1/1970,0.09,601
1/2/1970,0.22,602
1/3/1970,0.08,603
1/4/1970,0.09,604
1/5/1970,-0.04,605
1/6/1970,-0.02,606
1/7/1970,-0.02,607
1/8/1970,-0.09,608
1/9/1970,0.11,609
1/10/1970,0.06,610
1/11/1970,0.02,611
1/12/1970,-0.12,612
1/1/1971,-0.02,613
1/2/1971,-0.2,614
1/3/1971,-0.17,615
1/4/1971,-0.08,616
1/5/1971,-0.05,617
1/6/1971,-0.19,618
1/7/1971,-0.11,619
1/8/1971,-0.03,620
1/9/1971,-0.04,621
1/10/1971,-0.06,622
1/11/1971,-0.05,623
1/12/1971,-0.09,624
1/1/1972,-0.24,625
1/2/1972,-0.17,626
1/3/1972,0.02,627
1/4/1972,0,628
1/5/1972,-0.04,629
1/6/1972,0.06,630
1/7/1972,0.01,631
1/8/1972,0.17,632
1/9/1972,0.02,633
1/10/1972,0.09,634
1/11/1972,0.04,635
1/12/1972,0.2,636
1/1/1973,0.29,637
1/2/1973,0.31,638
1/3/1973,0.27,639
1/4/1973,0.26,640
1/5/1973,0.26,641
1/6/1973,0.18,642
1/7/1973,0.1,643
1/8/1973,0.03,644
1/9/1973,0.1,645
1/10/1973,0.14,646
1/11/1973,0.06,647
1/12/1973,-0.06,648
1/1/1974,-0.15,649
1/2/1974,-0.28,650
1/3/1974,-0.05,651
1/4/1974,-0.11,652
1/5/1974,-0.02,653
1/6/1974,-0.06,654
1/7/1974,-0.04,655
1/8/1974,0.11,656
1/9/1974,-0.11,657
1/10/1974,-0.08,658
1/11/1974,-0.07,659
1/12/1974,-0.09,660
1/1/1975,0.07,661
1/2/1975,0.07,662
1/3/1975,0.13,663
1/4/1975,0.05,664
1/5/1975,0.16,665
1/6/1975,0.01,666
1/7/1975,-0.01,667
1/8/1975,-0.19,668
1/9/1975,-0.03,669
1/10/1975,-0.09,670
1/11/1975,-0.16,671
1/12/1975,-0.17,672
1/1/1976,-0.01,673
1/2/1976,-0.06,674
1/3/1976,-0.21,675
1/4/1976,-0.08,676
1/5/1976,-0.24,677
1/6/1976,-0.16,678
1/7/1976,-0.1,679
1/8/1976,-0.14,680
1/9/1976,-0.09,681
1/10/1976,-0.26,682
1/11/1976,-0.04,683
1/12/1976,0.1,684
1/1/1977,0.19,685
1/2/1977,0.22,686
1/3/1977,0.25,687
1/4/1977,0.28,688
1/5/1977,0.3,689
1/6/1977,0.24,690
1/7/1977,0.2,691
1/8/1977,0.16,692
1/9/1977,0,693
1/10/1977,0.02,694
1/11/1977,0.17,695
1/12/1977,0.02,696
1/1/1978,0.06,697
1/2/1978,0.14,698
1/3/1978,0.21,699
1/4/1978,0.15,700
1/5/1978,0.06,701
1/6/1978,-0.02,702
1/7/1978,0.03,703
1/8/1978,-0.17,704
1/9/1978,0.05,705
1/10/1978,0,706
1/11/1978,0.16,707
1/12/1978,0.1,708
1/1/1979,0.12,709
1/2/1979,-0.11,710
1/3/1979,0.18,711
1/4/1979,0.13,712
1/5/1979,0.05,713
1/6/1979,0.13,714
1/7/1979,0.02,715
1/8/1979,0.14,716
1/9/1979,0.25,717
1/10/1979,0.24,718
1/11/1979,0.28,719
1/12/1979,0.47,720
1/1/1980,0.3,721
1/2/1980,0.42,722
1/3/1980,0.3,723
1/4/1980,0.33,724
1/5/1980,0.36,725
1/6/1980,0.17,726
1/7/1980,0.28,727
1/8/1980,0.23,728
1/9/1980,0.19,729
1/10/1980,0.18,730
1/11/1980,0.29,731
1/12/1980,0.2,732
1/1/1981,0.55,733
1/2/1981,0.41,734
1/3/1981,0.49,735
1/4/1981,0.32,736
1/5/1981,0.24,737
1/6/1981,0.32,738
1/7/1981,0.34,739
1/8/1981,0.32,740
1/9/1981,0.17,741
1/10/1981,0.14,742
1/11/1981,0.24,743
1/12/1981,0.43,744
1/1/1982,0.1,745
1/2/1982,0.15,746
1/3/1982,-0.01,747
1/4/1982,0.1,748
1/5/1982,0.15,749
1/6/1982,0.05,750
1/7/1982,0.13,751
1/8/1982,0.07,752
1/9/1982,0.14,753
