Date,CO2
1/12/1978,0.1
1/1/1979,0.12
1/2/1979,-0.11
1/3/1979,0.18
1/4/1979,0.13
1/5/1979,0.05
1/6/1979,0.13
1/7/1979,0.02
1/8/1979,0.14
1/9/1979,0.25
1/10/1979,0.24
1/11/1979,0.28
1/12/1979,0.47
1/1/1980,0.3
1/2/1980,0.42
1/3/1980,0.3
1/4/1980,0.33
1/5/1980,0.36
1/6/1980,0.17
1/7/1980,0.28
1/8/1980,0.23
1/9/1980,0.19
1/10/1980,0.18
1/11/1980,0.29
1/12/1980,0.2
1/1/1981,0.55
1/2/1981,0.41
1/3/1981,0.49
1/4/1981,0.32
1/5/1981,0.24
1/6/1981,0.32
1/7/1981,0.34
1/8/1981,0.32
1/9/1981,0.17
1/10/1981,0.14
1/11/1981,0.24
1/12/1981,0.43
1/1/1982,0.1
1/2/1982,0.15
1/3/1982,-0.01
1/4/1982,0.1
1/5/1982,0.15
1/6/1982,0.05
1/7/1982,0.13
1/8/1982,0.07
1/9/1982,0.14
1/10/1982,0.13
1/11/1982,0.15
1/12/1982,0.43
1/1/1983,0.52
1/2/1983,0.41
1/3/1983,0.43
1/4/1983,0.31
1/5/1983,0.36
1/6/1983,0.2
1/7/1983,0.18
1/8/1983,0.33
1/9/1983,0.39
1/10/1983,0.16
1/11/1983,0.32
1/12/1983,0.17
1/1/1984,0.3
1/2/1984,0.17
1/3/1984,0.29
1/4/1984,0.08
1/5/1984,0.33
1/6/1984,0.05
1/7/1984,0.17
1/8/1984,0.16
1/9/1984,0.21
1/10/1984,0.16
1/11/1984,0.06
1/12/1984,-0.05
1/1/1985,0.22
1/2/1985,-0.06
1/3/1985,0.17
1/4/1985,0.11
1/5/1985,0.17
1/6/1985,0.18
1/7/1985,-0.01
1/8/1985,0.15
1/9/1985,0.15
1/10/1985,0.11
1/11/1985,0.08
1/12/1985,0.15
1/1/1986,0.28
1/2/1986,0.39
1/3/1986,0.27
1/4/1986,0.24
1/5/1986,0.24
1/6/1986,0.11
1/7/1986,0.11
1/8/1986,0.12
1/9/1986,0
1/10/1986,0.13
1/11/1986,0.11
1/12/1986,0.16
1/1/1987,0.36
1/2/1987,0.46
1/3/1987,0.16
1/4/1987,0.22
1/5/1987,0.25
1/6/1987,0.37
1/7/1987,0.45
1/8/1987,0.28
1/9/1987,0.39
1/10/1987,0.32
1/11/1987,0.25
1/12/1987,0.48
1/1/1988,0.58
1/2/1988,0.43
1/3/1988,0.51
1/4/1988,0.45
1/5/1988,0.43
1/6/1988,0.43
1/7/1988,0.34
1/8/1988,0.47
1/9/1988,0.41
1/10/1988,0.39
1/11/1988,0.12
1/12/1988,0.33
1/1/1989,0.15
1/2/1989,0.35
1/3/1989,0.36
1/4/1989,0.33
1/5/1989,0.16
1/6/1989,0.14
1/7/1989,0.34
1/8/1989,0.37
1/9/1989,0.37
1/10/1989,0.32
1/11/1989,0.2
1/12/1989,0.38
1/1/1990,0.41
1/2/1990,0.41
1/3/1990,0.77
1/4/1990,0.55
1/5/1990,0.46
1/6/1990,0.38
1/7/1990,0.43
1/8/1990,0.31
1/9/1990,0.29
1/10/1990,0.41
1/11/1990,0.46
1/12/1990,0.41
1/1/1991,0.41
1/2/1991,0.49
1/3/1991,0.35
1/4/1991,0.52
1/5/1991,0.38
1/6/1991,0.53
1/7/1991,0.48
1/8/1991,0.4
1/9/1991,0.48
1/10/1991,0.3
1/11/1991,0.31
1/12/1991,0.32
1/1/1992,0.44
1/2/1992,0.42
1/3/1992,0.48
1/4/1992,0.24
1/5/1992,0.32
1/6/1992,0.25
1/7/1992,0.12
1/8/1992,0.07
1/9/1992,0
1/10/1992,0.09
1/11/1992,0.03
1/12/1992,0.22
1/1/1993,0.37
1/2/1993,0.39
1/3/1993,0.36
1/4/1993,0.27
1/5/1993,0.27
1/6/1993,0.25
1/7/1993,0.28
1/8/1993,0.13
1/9/1993,0.1
